"b","dataset","n_models","models","weights","distance_meas","distance_est","var_pred","r2","bias","lower_CI","upper_CI","mae","rmse"
708,"natalia_oliveira_2023",1,"[54] Almeida et al. 2019","1",674.168421052632,685.206785507774,954.352075800725,0.223356327961415,11.038364455142,-103.552092746115,129.236413727934,48.3307536637202,61.9218282360447
320,"natalia_oliveira_2023",2,"[20] Jenkins et al. 2009; [42] Britto et al. 2013","0.5;0.5",671.9,670.538558792678,1323.8442871577,0.340987863952135,-1.36144120732201,-141.885205943709,128.741388888889,49.1463839208246,63.2666071337662
63,"natalia_oliveira_2023",3,"[55] Almeida et al. 2019; [10] Camarri et al. 2006; [15] Masmoudi et al. 2008","0.3883;0.2675;0.3442",675.005263157895,700.157147211562,1437.89945161692,0.18433614176503,25.1518840536668,-92.7150849506659,147.421321427835,55.7271133498631,70.9678844616433
969,"natalia_oliveira_2023",4,"[42] Britto et al. 2013; [13] Chetta et al. 2006; [50] Zou et al. 2017; [20] Jenkins et al. 2009","0.3497;0.2225;0.1328;0.295",676.18947368421,651.921825243379,1110.99108428036,0.241815541226985,-24.2676484408314,-133.449875645111,86.8858784192782,47.453481176961,63.0216276251921
272,"natalia_oliveira_2023",5,"[10] Camarri et al. 2006; [42] Britto et al. 2013; [48] Fernandes et al. 2016; [28] Ben Saad et al. 2009; [13] Chetta et al. 2006","0.4333;0.3039;0.3184;0.2194;-0.275",671.1,662.961779536637,1721.99624862972,0.294336161536013,-8.13822046336298,-126.400785446615,107.144081161886,43.5729328378348,58.6985442145593
512,"natalia_oliveira_2023",6,"[09] Camarri et al. 2006; [13] Chetta et al. 2006; [06] Gibbons et al. 2001; [27] Alameri et al. 2009; [32] Soares, Pereira 2011; [20] Jenkins et al. 2009","0.2283;-0.2043;0.3694;0.2531;-0.2181;0.5716",680.631578947368,686.22572137675,1032.89053258956,0.273756320747253,5.59414242938185,-127.547391995657,142.047383205881,52.4198137920732,69.5728767848812
375,"natalia_oliveira_2023",7,"[27] Alameri et al. 2009; [54] Almeida et al. 2019; [10] Camarri et al. 2006; [45] Kim et al. 2014; [37] Hill et al. 2011; [50] Zou et al. 2017; [09] Camarri et al. 2006","0.5765;0.0127;0.0692;0.0166;0.6955;-0.8871;0.5166",675.247368421053,691.565129194904,819.438021988133,0.220246558897533,16.3177607738512,-91.9684708641416,135.139263886,51.3125356553857,66.4601458753683
779,"natalia_oliveira_2023",8,"[04] Troosters, Gosselink & Decramer 1999; [43] Rao et al. 2013; [07] Enrigth et al. 2003; [48] Fernandes et al. 2016; [28] Ben Saad et al. 2009; [45] Kim et al. 2014; [13] Chetta et al. 2006; [18] Iwama et al. 2009","0.162;-0.1136;-0.0114;0.2972;0.5235;0.4951;-0.7166;0.3637",683.168421052632,681.041075295261,1704.11782759564,0.250706767808136,-2.12734575737064,-145.949383993122,109.188757271676,50.0280390558545,65.2211562761082
574,"natalia_oliveira_2023",9,"[48] Fernandes et al. 2016; [42] Britto et al. 2013; [18] Iwama et al. 2009; [26] Jenkins et al. 2009; [28] Ben Saad et al. 2009; [32] Soares, Pereira 2011; [07] Enrigth et al. 2003; [20] Jenkins et al. 2009; [09] Camarri et al. 2006","0.0405;0.3128;0.0963;0.2202;0.1059;0.0905;-0.1325;0.177;0.0894",674.273684210526,670.578202900482,1401.59736568793,0.253041274332682,-3.69548131004416,-129.721562738366,119.294380732052,49.4748133241818,63.8654181397179
19,"natalia_oliveira_2023",10,"[06] Gibbons et al. 2001; [20] Jenkins et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [15] Masmoudi et al. 2008; [34] Dourado, Vidotto, Guerra 2011; [54] Almeida et al. 2019; [30] Osses et al. 2010; [55] Almeida et al. 2019; [18] Iwama et al. 2009; [27] Alameri et al. 2009","0.0666;-0.161;0.5421;-0.0781;0.0226;-0.0698;-0.0187;0.235;0.1499;0.3115",672.905263157895,666.401843955029,1124.79305423238,0.213697050466087,-6.50341920286584,-129.34616765015,126.670323694997,49.1213534688063,66.7900329639307
324,"natalia_oliveira_2023",11,"[45] Kim et al. 2014; [06] Gibbons et al. 2001; [04] Troosters, Gosselink & Decramer 1999; [02] Enright & Sherrill 1998; [30] Osses et al. 2010; [50] Zou et al. 2017; [47] Nusdwinuringtyas et al, 2014; [58] Delbressine et al. 2023; [15] Masmoudi et al. 2008; [26] Jenkins et al. 2009; [43] Rao et al. 2013","0.7078;-0.3156;0.6436;1.1096;-0.4922;-0.2182;0.7745;-0.2095;-0.3049;-0.3021;-0.393",673.657894736842,688.806280482117,1080.93345827872,0.236594890544246,15.1483857452746,-100.362967348153,141.376762210657,53.6397278493618,67.9174119115495
