"b","dataset","n_models","models","distance_meas","distance_est","r2","bias","lower_CI","upper_CI","mae","rmse"
16,"natalia_oliveira_2023",1,"[06] Gibbons et al. 2001",675.747368421053,727.221263157895,0.152855284772867,51.473894736842,-135.64,194.35,77.372947368421,95.6555771450225
96,"natalia_oliveira_2023",2,"[55] Almeida et al. 2019; [10] Camarri et al. 2006",684.105263157895,734.475805986052,0.387211448478823,50.3705428281576,-87.1258477292528,181.945239512262,70.4847681588781,86.5231537968136
94,"natalia_oliveira_2023",3,"[32] Soares, Pereira 2011; [30] Osses et al. 2010; [55] Almeida et al. 2019",687.068421052632,678.419790411074,0.252165866912644,-8.64863064155751,-155.287435542367,149.519830697501,55.7475575055877,78.6266188368552
78,"natalia_oliveira_2023",4,"[34] Dourado, Vidotto, Guerra 2011; [45] Kim et al. 2014; [54] Almeida et al. 2019; [06] Gibbons et al. 2001",673.663157894737,672.576039491357,0.235188004565555,-1.0871184033794,-135.45746740256,127.971132047816,54.6070214750229,70.6743820040432
32,"natalia_oliveira_2023",5,"[04] Troosters, Gosselink & Decramer 1999; [43] Rao et al. 2013; [20] Jenkins et al. 2009; [40] Britto et al. 2013; [02] Enright & Sherrill 1998",666.984210526316,656.668751991855,0.137544042423318,-10.3154585344608,-153.032858116332,112.498694783453,54.190152228759,71.3840085540267
98,"natalia_oliveira_2023",7,"[27] Alameri et al. 2009; [40] Britto et al. 2013; [28] Ben Saad et al. 2009; [30] Osses et al. 2010; [32] Soares, Pereira 2011; [26] Jenkins et al. 2009; [58] Delbressine et al. 2023",671.873684210526,657.294739325675,0.156979499011092,-14.5789448848514,-146.094063903474,138.988481821204,58.732771172893,78.8570626261587
5,"natalia_oliveira_2023",8,"[15] Masmoudi et al. 2008; [02] Enright & Sherrill 1998; [06] Gibbons et al. 2001; [27] Alameri et al. 2009; [37] Hill et al. 2011; [30] Osses et al. 2010; [42] Britto et al. 2013; [34] Dourado, Vidotto, Guerra 2011",676.157894736842,663.855739164474,0.186147559121172,-12.3021555723685,-135.23172625,124.5251226875,53.7842170328948,70.1797697275821
51,"natalia_oliveira_2023",9,"[07] Enrigth et al. 2003; [58] Delbressine et al. 2023; [09] Camarri et al. 2006; [37] Hill et al. 2011; [15] Masmoudi et al. 2008; [34] Dourado, Vidotto, Guerra 2011; [13] Chetta et al. 2006; [47] Nusdwinuringtyas et al, 2014; [55] Almeida et al. 2019",673.278947368421,670.1972615743,0.216208318988736,-3.08168579412074,-149.169621717612,149.770469385906,59.4867347996727,79.1037461449521
19,"natalia_oliveira_2023",10,"[06] Gibbons et al. 2001; [20] Jenkins et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [15] Masmoudi et al. 2008; [34] Dourado, Vidotto, Guerra 2011; [54] Almeida et al. 2019; [30] Osses et al. 2010; [55] Almeida et al. 2019; [18] Iwama et al. 2009; [27] Alameri et al. 2009",672.905263157895,668.8820902521,0.196708182586784,-4.02317290579511,-132.53581189253,129.785422375131,49.0664512692354,67.3293977953612
37,"natalia_oliveira_2023",11,"[10] Camarri et al. 2006; [02] Enright & Sherrill 1998; [13] Chetta et al. 2006; [06] Gibbons et al. 2001; [04] Troosters, Gosselink & Decramer 1999; [54] Almeida et al. 2019; [28] Ben Saad et al. 2009; [26] Jenkins et al. 2009; [30] Osses et al. 2010; [43] Rao et al. 2013; [20] Jenkins et al. 2009",674.163157894737,690.078690959004,0.207726595744662,15.9155330642675,-130.110112496864,173.661506462059,58.1340921097802,77.3973073149405
43,"natalia_oliveira_2023",12,"[10] Camarri et al. 2006; [07] Enrigth et al. 2003; [58] Delbressine et al. 2023; [47] Nusdwinuringtyas et al, 2014; [55] Almeida et al. 2019; [28] Ben Saad et al. 2009; [06] Gibbons et al. 2001; [50] Zou et al. 2017; [32] Soares, Pereira 2011; [48] Fernandes et al. 2016; [02] Enright & Sherrill 1998; [30] Osses et al. 2010",674.352631578947,663.840305366996,0.237200113163963,-10.512326211951,-132.784019689072,119.103879706816,54.1637307994331,72.9902227694394
62,"natalia_oliveira_2023",13,"[09] Camarri et al. 2006; [45] Kim et al. 2014; [26] Jenkins et al. 2009; [06] Gibbons et al. 2001; [27] Alameri et al. 2009; [50] Zou et al. 2017; [54] Almeida et al. 2019; [42] Britto et al. 2013; [55] Almeida et al. 2019; [48] Fernandes et al. 2016; [07] Enrigth et al. 2003; [10] Camarri et al. 2006; [28] Ben Saad et al. 2009",663.305263157895,650.094669777496,0.262901070107869,-13.2105933803988,-136.560175453602,109.260837208704,51.2799420774566,65.3711781091184
15,"natalia_oliveira_2023",14,"[32] Soares, Pereira 2011; [42] Britto et al. 2013; [15] Masmoudi et al. 2008; [13] Chetta et al. 2006; [37] Hill et al. 2011; [45] Kim et al. 2014; [04] Troosters, Gosselink & Decramer 1999; [54] Almeida et al. 2019; [07] Enrigth et al. 2003; [06] Gibbons et al. 2001; [30] Osses et al. 2010; [27] Alameri et al. 2009; [02] Enright & Sherrill 1998; [58] Delbressine et al. 2023",671.636842105263,665.32852767577,0.195761892278371,-6.30831442949335,-138.00502775077,127.647623132161,54.2516082399354,73.0179348068577
26,"natalia_oliveira_2023",15,"[18] Iwama et al. 2009; [40] Britto et al. 2013; [13] Chetta et al. 2006; [06] Gibbons et al. 2001; [54] Almeida et al. 2019; [26] Jenkins et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [02] Enright & Sherrill 1998; [10] Camarri et al. 2006; [43] Rao et al. 2013; [09] Camarri et al. 2006; [20] Jenkins et al. 2009; [37] Hill et al. 2011; [07] Enrigth et al. 2003; [28] Ben Saad et al. 2009",676.921052631579,676.443501575543,0.280171911612673,-0.477551056036446,-152.199704560825,133.168956833389,53.2651644595929,75.4379164243591
39,"natalia_oliveira_2023",16,"[47] Nusdwinuringtyas et al, 2014; [55] Almeida et al. 2019; [07] Enrigth et al. 2003; [42] Britto et al. 2013; [50] Zou et al. 2017; [34] Dourado, Vidotto, Guerra 2011; [48] Fernandes et al. 2016; [45] Kim et al. 2014; [26] Jenkins et al. 2009; [27] Alameri et al. 2009; [37] Hill et al. 2011; [40] Britto et al. 2013; [58] Delbressine et al. 2023; [10] Camarri et al. 2006; [32] Soares, Pereira 2011; [04] Troosters, Gosselink & Decramer 1999",673.131578947368,653.756080014186,0.236858878446873,-19.3754989331828,-181.164505687202,115.673782992806,59.7812714919055,79.642587206758
84,"natalia_oliveira_2023",17,"[28] Ben Saad et al. 2009; [18] Iwama et al. 2009; [47] Nusdwinuringtyas et al, 2014; [40] Britto et al. 2013; [32] Soares, Pereira 2011; [58] Delbressine et al. 2023; [55] Almeida et al. 2019; [04] Troosters, Gosselink & Decramer 1999; [13] Chetta et al. 2006; [43] Rao et al. 2013; [10] Camarri et al. 2006; [37] Hill et al. 2011; [45] Kim et al. 2014; [15] Masmoudi et al. 2008; [54] Almeida et al. 2019; [09] Camarri et al. 2006; [26] Jenkins et al. 2009",674.636842105263,670.462828648963,0.236490992128287,-4.17401345630018,-150.179053863121,121.941868799858,54.7727616730497,71.6964706635281
1,"natalia_oliveira_2023",18,"[42] Britto et al. 2013; [40] Britto et al. 2013; [48] Fernandes et al. 2016; [26] Jenkins et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [10] Camarri et al. 2006; [13] Chetta et al. 2006; [15] Masmoudi et al. 2008; [07] Enrigth et al. 2003; [50] Zou et al. 2017; [32] Soares, Pereira 2011; [02] Enright & Sherrill 1998; [55] Almeida et al. 2019; [45] Kim et al. 2014; [20] Jenkins et al. 2009; [43] Rao et al. 2013; [37] Hill et al. 2011; [06] Gibbons et al. 2001",679.436842105263,653.919077120915,0.22271416562819,-25.5177649843484,-192.648016099824,113.168407712775,56.5227244624187,79.7012308155444
35,"natalia_oliveira_2023",19,"[15] Masmoudi et al. 2008; [26] Jenkins et al. 2009; [06] Gibbons et al. 2001; [09] Camarri et al. 2006; [02] Enright & Sherrill 1998; [04] Troosters, Gosselink & Decramer 1999; [45] Kim et al. 2014; [32] Soares, Pereira 2011; [50] Zou et al. 2017; [18] Iwama et al. 2009; [28] Ben Saad et al. 2009; [42] Britto et al. 2013; [30] Osses et al. 2010; [10] Camarri et al. 2006; [43] Rao et al. 2013; [20] Jenkins et al. 2009; [58] Delbressine et al. 2023; [47] Nusdwinuringtyas et al, 2014; [40] Britto et al. 2013",664.352631578947,657.146846651608,0.231418665080799,-7.20578492733956,-148.605467558663,118.759365075157,50.74100582083,70.7043158175792
13,"natalia_oliveira_2023",20,"[40] Britto et al. 2013; [28] Ben Saad et al. 2009; [18] Iwama et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [15] Masmoudi et al. 2008; [55] Almeida et al. 2019; [50] Zou et al. 2017; [07] Enrigth et al. 2003; [30] Osses et al. 2010; [32] Soares, Pereira 2011; [45] Kim et al. 2014; [02] Enright & Sherrill 1998; [37] Hill et al. 2011; [58] Delbressine et al. 2023; [04] Troosters, Gosselink & Decramer 1999; [47] Nusdwinuringtyas et al, 2014; [13] Chetta et al. 2006; [10] Camarri et al. 2006; [26] Jenkins et al. 2009; [06] Gibbons et al. 2001",675.88947368421,674.698446959049,0.28248246704346,-1.19102672516198,-132.723844087054,135.982452351855,53.9554951720022,71.6900721835094
