"b","dataset","n_models","models","weights","distance_meas","distance_est","var_pred","r2","bias","lower_CI","upper_CI","mae","rmse"
1,"natalia_oliveira_2023",18,"[42] Britto et al. 2013; [40] Britto et al. 2013; [48] Fernandes et al. 2016; [26] Jenkins et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [10] Camarri et al. 2006; [13] Chetta et al. 2006; [15] Masmoudi et al. 2008; [07] Enrigth et al. 2003; [50] Zou et al. 2017; [32] Soares, Pereira 2011; [02] Enright & Sherrill 1998; [55] Almeida et al. 2019; [45] Kim et al. 2014; [20] Jenkins et al. 2009; [43] Rao et al. 2013; [37] Hill et al. 2011; [06] Gibbons et al. 2001","0.2055;-0.2228;-0.087;-0.0355;-0.0313;0.2637;-0.1277;-0.1333;-0.0061;-0.089;-0.2412;0.7433;0.1883;0.5793;-0.1295;-0.1926;0.0795;0.2363",679.436842105263,778.613334071184,1066.72065121347,0.233042750139369,99.1764919659212,-69.6354160324883,236.786896771856,109.407778331409,124.233991759133
2,"natalia_oliveira_2023",15,"[45] Kim et al. 2014; [47] Nusdwinuringtyas et al, 2014; [04] Troosters, Gosselink & Decramer 1999; [32] Soares, Pereira 2011; [40] Britto et al. 2013; [50] Zou et al. 2017; [58] Delbressine et al. 2023; [10] Camarri et al. 2006; [15] Masmoudi et al. 2008; [18] Iwama et al. 2009; [42] Britto et al. 2013; [30] Osses et al. 2010; [55] Almeida et al. 2019; [27] Alameri et al. 2009; [06] Gibbons et al. 2001","0.081;0.6341;0.8371;-0.4473;-0.0932;-0.5762;0.2405;-0.4028;0.0442;0.0216;0.1472;-0.0521;0.1775;0.531;-0.1427",681.947368421053,598.810134528436,1200.29561715788,0.242147818094397,-83.1372338926169,-286.251025219907,68.582254432573,92.4573855573063,114.025301822252
3,"natalia_oliveira_2023",4,"[45] Kim et al. 2014; [58] Delbressine et al. 2023; [20] Jenkins et al. 2009; [30] Osses et al. 2010","0.4665;0.5444;-0.0341;0.0231",674.18947368421,661.96573217015,1102.73180142885,0.281517429015999,-12.22374151406,-140.13624173915,131.726937872398,55.0306776591726,71.114168250431
4,"natalia_oliveira_2023",24,"[26] Jenkins et al. 2009; [40] Britto et al. 2013; [42] Britto et al. 2013; [37] Hill et al. 2011; [15] Masmoudi et al. 2008; [13] Chetta et al. 2006; [50] Zou et al. 2017; [28] Ben Saad et al. 2009; [48] Fernandes et al. 2016; [43] Rao et al. 2013; [06] Gibbons et al. 2001; [30] Osses et al. 2010; [34] Dourado, Vidotto, Guerra 2011; [58] Delbressine et al. 2023; [47] Nusdwinuringtyas et al, 2014; [18] Iwama et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [27] Alameri et al. 2009; [02] Enright & Sherrill 1998; [32] Soares, Pereira 2011; [55] Almeida et al. 2019; [09] Camarri et al. 2006; [20] Jenkins et al. 2009; [07] Enrigth et al. 2003","-0.115;-0.4147;0.1822;0.1916;-0.1467;-0.5431;-0.2084;0.6937;0.2287;-0.1782;-0.4839;-0.0357;-0.0057;-0.0489;0.2536;0.2699;0.0928;0.5563;0.7612;-0.2711;0.0385;0.2922;-0.1012;-0.0081",680.647368421053,631.849178346819,1855.89364027597,0.193093509728324,-48.7981900742336,-218.444501300052,76.3784258198316,67.1460029432291,88.5777465992464
5,"natalia_oliveira_2023",8,"[15] Masmoudi et al. 2008; [02] Enright & Sherrill 1998; [06] Gibbons et al. 2001; [27] Alameri et al. 2009; [37] Hill et al. 2011; [30] Osses et al. 2010; [42] Britto et al. 2013; [34] Dourado, Vidotto, Guerra 2011","0.0521;1.1087;0.103;0.6576;-0.1362;-0.5675;0.1507;-0.3684",676.157894736842,527.718202827461,1404.20375676028,0.18397075189414,-148.439691909381,-267.072723619681,-11.8642478700273,148.993572598387,163.659737251755
6,"natalia_oliveira_2023",21,"[06] Gibbons et al. 2001; [40] Britto et al. 2013; [48] Fernandes et al. 2016; [10] Camarri et al. 2006; [45] Kim et al. 2014; [43] Rao et al. 2013; [30] Osses et al. 2010; [32] Soares, Pereira 2011; [42] Britto et al. 2013; [37] Hill et al. 2011; [54] Almeida et al. 2019; [58] Delbressine et al. 2023; [13] Chetta et al. 2006; [20] Jenkins et al. 2009; [07] Enrigth et al. 2003; [04] Troosters, Gosselink & Decramer 1999; [50] Zou et al. 2017; [28] Ben Saad et al. 2009; [55] Almeida et al. 2019; [18] Iwama et al. 2009; [15] Masmoudi et al. 2008","-0.6172;-0.374;0.4574;-0.3563;0.6539;0.0055;0.0379;-0.1227;0.1879;0.2277;-0.149;-0.0377;-0.5893;0.0368;0.0038;0.1742;-0.0494;0.9576;0.1456;0.5329;-0.1258",668.878947368421,609.862441572479,2337.15330972171,0.318960882388795,-59.0165057959424,-235.645358003638,61.7707162972249,72.8612392879693,92.9861884768464
7,"natalia_oliveira_2023",27,"[58] Delbressine et al. 2023; [30] Osses et al. 2010; [45] Kim et al. 2014; [32] Soares, Pereira 2011; [55] Almeida et al. 2019; [43] Rao et al. 2013; [54] Almeida et al. 2019; [06] Gibbons et al. 2001; [09] Camarri et al. 2006; [37] Hill et al. 2011; [50] Zou et al. 2017; [27] Alameri et al. 2009; [20] Jenkins et al. 2009; [42] Britto et al. 2013; [13] Chetta et al. 2006; [18] Iwama et al. 2009; [07] Enrigth et al. 2003; [28] Ben Saad et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [47] Nusdwinuringtyas et al, 2014; [48] Fernandes et al. 2016; [15] Masmoudi et al. 2008; [34] Dourado, Vidotto, Guerra 2011; [10] Camarri et al. 2006; [26] Jenkins et al. 2009; [02] Enright & Sherrill 1998; [40] Britto et al. 2013","-0.0097;-0.0054;0.2767;-0.2215;0.067;-0.1663;-0.2891;-0.419;0.1886;0.1028;-0.2063;0.5824;-0.0402;0.13;-0.482;0.2024;0.0176;0.7109;0.1384;0.3715;0.155;-0.0825;0.0544;-0.4138;-0.0446;0.6895;-0.3065",680.594736842105,571.652796457653,2159.16734598713,0.229457834456163,-108.941940384452,-280.331272760419,2.97847104724725,112.257086159924,133.864166980987
8,"natalia_oliveira_2023",23,"[42] Britto et al. 2013; [04] Troosters, Gosselink & Decramer 1999; [50] Zou et al. 2017; [45] Kim et al. 2014; [20] Jenkins et al. 2009; [58] Delbressine et al. 2023; [30] Osses et al. 2010; [40] Britto et al. 2013; [07] Enrigth et al. 2003; [10] Camarri et al. 2006; [54] Almeida et al. 2019; [28] Ben Saad et al. 2009; [47] Nusdwinuringtyas et al, 2014; [15] Masmoudi et al. 2008; [55] Almeida et al. 2019; [02] Enright & Sherrill 1998; [09] Camarri et al. 2006; [27] Alameri et al. 2009; [32] Soares, Pereira 2011; [18] Iwama et al. 2009; [06] Gibbons et al. 2001; [43] Rao et al. 2013; [34] Dourado, Vidotto, Guerra 2011","0.1222;0.2568;-0.3252;0.3229;-0.0485;-0.0224;-0.0504;-0.4106;0.0412;-0.5751;-0.3073;0.7077;0.3943;-0.1124;0.0895;0.7707;0.1043;0.7675;-0.2706;0.2562;-0.5408;-0.2499;0.08",667.094736842105,531.650311268374,2083.83787555926,0.215322361532897,-135.444425573732,-263.063175119403,-1.32071528587744,137.774707516424,153.209970233465
9,"natalia_oliveira_2023",11,"[58] Delbressine et al. 2023; [06] Gibbons et al. 2001; [04] Troosters, Gosselink & Decramer 1999; [43] Rao et al. 2013; [47] Nusdwinuringtyas et al, 2014; [09] Camarri et al. 2006; [27] Alameri et al. 2009; [32] Soares, Pereira 2011; [48] Fernandes et al. 2016; [28] Ben Saad et al. 2009; [26] Jenkins et al. 2009","0.1828;-0.5878;0.2823;-0.2014;0.1998;-0.0757;0.5376;-0.2116;0.4567;0.4519;-0.0348",682.642105263158,550.296910397572,2355.98996460777,0.32045617429909,-132.345194865586,-270.31236422212,-0.629746353318279,133.171818568876,149.547660318435
10,"natalia_oliveira_2023",27,"[27] Alameri et al. 2009; [40] Britto et al. 2013; [32] Soares, Pereira 2011; [50] Zou et al. 2017; [15] Masmoudi et al. 2008; [30] Osses et al. 2010; [09] Camarri et al. 2006; [37] Hill et al. 2011; [47] Nusdwinuringtyas et al, 2014; [58] Delbressine et al. 2023; [28] Ben Saad et al. 2009; [26] Jenkins et al. 2009; [18] Iwama et al. 2009; [45] Kim et al. 2014; [07] Enrigth et al. 2003; [48] Fernandes et al. 2016; [55] Almeida et al. 2019; [20] Jenkins et al. 2009; [34] Dourado, Vidotto, Guerra 2011; [54] Almeida et al. 2019; [04] Troosters, Gosselink & Decramer 1999; [42] Britto et al. 2013; [43] Rao et al. 2013; [10] Camarri et al. 2006; [02] Enright & Sherrill 1998; [13] Chetta et al. 2006; [06] Gibbons et al. 2001","0.6665;-0.2858;-0.2267;-0.181;-0.1396;-0.056;0.2462;0.1969;0.2557;-0.0331;0.7713;-0.1066;0.2243;0.3491;0.0345;0.1736;0.0531;-0.0918;-0.006;-0.2195;0.0997;0.1104;-0.1501;-0.4024;0.743;-0.5169;-0.5086",671.21052631579,553.030683555131,2065.62719306129,0.271203323113608,-118.179842760659,-250.768467168828,27.4127724034748,123.147103308319,139.216785383939
