"b","dataset","n_models","models","distance_meas","distance_est","bias","lower_CI","upper_CI"
9456,"natalia_oliveira_2023",1,"[50] Fernandes et al. 2016",450.507246376812,450.694072463768,0.186826086956527,-108.33,139.479
6311,"natalia_oliveira_2023",2,"[47] Kim et al. 2014; [04] Troosters, Gosselink & Decramer 1999",451.202898550725,451.478768115942,0.275869565217377,-125.922,147.038
8816,"natalia_oliveira_2023",3,"[10] Camarri et al. 2006; [59] Delbressine et al. 2023; [13] Chetta et al. 2006",430.985507246377,430.981130434783,-0.0043768115942076,-101.657733333333,121.251466666667
4023,"natalia_oliveira_2023",4,"[29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014; [10] Camarri et al. 2006; [32] Osses et al. 2010",459.159420289855,458.049786231884,-1.10963405797099,-116.114,134.56945
1148,"natalia_oliveira_2023",5,"[07] Enrigth et al. 2003; [06] Gibbons et al. 2001; [36] Dourado, Vidotto, Guerra 2011; [42] Britto et al. 2013; [54] Oliveira et al. 2019",433.014492753623,433.6238017152,0.60930896157669,-127.180237009365,126.514409754468
4766,"natalia_oliveira_2023",6,"[30] Ben Saad et al. 2009; [39] Hill et al. 2011; [06] Gibbons et al. 2001; [36] Dourado, Vidotto, Guerra 2011; [42] Britto et al. 2013; [29] Alameri et al. 2009",440.275362318841,439.501825530903,-0.773536787937618,-104.60706113741,115.38180770167
2323,"natalia_oliveira_2023",7,"[42] Britto et al. 2013; [36] Dourado, Vidotto, Guerra 2011; [27] Jenkins et al. 2009; [30] Ben Saad et al. 2009; [44] Britto et al. 2013; [29] Alameri et al. 2009; [13] Chetta et al. 2006",452.36231884058,453.995058533937,1.63273969335743,-118.995624048379,129.313923615249
8053,"natalia_oliveira_2023",8,"[13] Chetta et al. 2006; [49] Nusdwinuringtyas et al, 2014; [42] Britto et al. 2013; [50] Fernandes et al. 2016; [27] Jenkins et al. 2009; [04] Troosters, Gosselink & Decramer 1999; [30] Ben Saad et al. 2009; [54] Oliveira et al. 2019",457.289855072464,457.082917496298,-0.206937576165902,-107.528426648083,127.702698206868
2090,"natalia_oliveira_2023",9,"[06] Gibbons et al. 2001; [29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014; [54] Oliveira et al. 2019; [52] Zou et al. 2017; [47] Kim et al. 2014; [10] Camarri et al. 2006; [02] Enright & Sherrill 1998; [36] Dourado, Vidotto, Guerra 2011",437.623188405797,438.609447622395,0.986259216598085,-128.91603966083,122.633233333376
9307,"natalia_oliveira_2023",10,"[04] Troosters, Gosselink & Decramer 1999; [20] Iwama et al. 2009; [13] Chetta et al. 2006; [10] Camarri et al. 2006; [50] Fernandes et al. 2016; [16] Li et al. 2007; [06] Gibbons et al. 2001; [42] Britto et al. 2013; [29] Alameri et al. 2009; [49] Nusdwinuringtyas et al, 2014",454.391304347826,455.58529896089,1.19399461306372,-132.213429823889,127.480512790122
